Structure,System,Folder
RG35XX Knuli,Nintendo Entertainment System,nes
RG35XX Knuli,Super Nintendo Entertainment System,snes
Structure 2,Nintendo Entertainment System,fc
Structure 2,Super Nintendo Entertainment System,sfc
